/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2004-12-13.1523.asc
  40.80 262.82  942.  379.  11 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 12   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.1260
      1.00000      38.1260
      3.00000      38.1260
      7.00000      27.0666
      10.0000      24.4577
      20.0000      19.7772
      30.0000      17.5513
      40.0000      16.2317
      50.0000      15.3653
      70.0000      17.3559
      100.000      25.0310
      150.000      36.8830
      200.000      53.4276
      250.000      71.4693
      300.000      74.3278
      350.000      77.1864
      400.000      80.0450
      450.000      84.4200
      500.000      110.490
      550.000      128.880
      600.000      116.910
      650.000      132.130
      700.000      129.810
      750.000      128.940
      800.000      129.120
      850.000      130.600
      875.000      131.340
      900.000      130.720
      925.000      130.100
      950.000      129.480
      975.000      129.480
      1000.00      129.480
      1020.00      129.480
      1040.00      129.480
      1060.00      129.480
