/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-01-27.2059.asc
  40.76 262.80  939.  374.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 1   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      45.1623
      1.00000      45.1623
      3.00000      45.1623
      7.00000      30.3285
      10.0000      26.1371
      20.0000      20.3012
      30.0000      17.6150
      40.0000      16.0939
      50.0000      15.2256
      70.0000      18.1356
      100.000      25.8555
      150.000      36.6232
      200.000      53.4880
      250.000      72.5349
      300.000      81.7425
      350.000      90.9500
      400.000      109.520
      450.000      128.090
      500.000      124.500
      550.000      120.910
      600.000      120.925
      650.000      120.940
      700.000      125.760
      750.000      130.580
      800.000      135.400
      850.000      137.120
      875.000      132.505
      900.000      127.890
      925.000      129.070
      950.000      130.250
      975.000      130.250
      1000.00      130.250
      1020.00      130.250
      1040.00      130.250
      1060.00      130.250
