/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-12-28.2120.asc
  40.78 262.78  941.  374.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 12   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.1260
      1.00000      38.1260
      3.00000      38.1260
      7.00000      27.0666
      10.0000      24.4577
      20.0000      19.7772
      30.0000      17.5513
      40.0000      16.2317
      50.0000      15.3653
      70.0000      17.3559
      100.000      25.0310
      150.000      36.8830
      200.000      53.4276
      250.000      71.4693
      300.000      83.9446
      350.000      96.4200
      400.000      104.455
      450.000      112.490
      500.000      114.235
      550.000      115.980
      600.000      122.390
      650.000      126.455
      700.000      130.520
      750.000      130.660
      800.000      130.800
      850.000      134.300
      875.000      130.160
      900.000      126.020
      925.000      126.860
      950.000      127.700
      975.000      127.700
      1000.00      127.700
      1020.00      127.700
      1040.00      127.700
      1060.00      127.700
