/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2009-04-21.1441.asc
  40.70 262.86  940.  371.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 4   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.9637
      1.00000      32.9637
      3.00000      32.9637
      7.00000      27.6685
      10.0000      25.6471
      20.0000      21.9072
      30.0000      18.3751
      40.0000      16.2142
      50.0000      15.6011
      70.0000      19.2535
      100.000      24.8595
      150.000      33.4786
      200.000      60.1020
      250.000      80.2380
      300.000      100.374
      350.000      120.510
      400.000      119.200
      450.000      117.890
      500.000      118.695
      550.000      119.500
      600.000      128.920
      650.000      128.595
      700.000      128.270
      750.000      133.865
      800.000      139.460
      850.000      147.360
      875.000      147.775
      900.000      148.190
      925.000      149.330
      950.000      150.470
      975.000      150.470
      1000.00      150.470
      1020.00      150.470
      1040.00      150.470
      1060.00      150.470
