/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-02-17.0002.asc
  40.80 262.82  877.  814.   2 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 2   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      42.6998
      1.00000      42.6998
      3.00000      42.6998
      7.00000      32.8424
      10.0000      28.5866
      20.0000      20.8685
      30.0000      17.7354
      40.0000      16.0153
      50.0000      15.2185
      70.0000      18.2719
      100.000      24.8534
      150.000      32.9830
      200.000      51.2912
      250.000      74.0099
      300.000      105.843
      350.000      137.677
      400.000      169.510
      450.000      169.510
      500.000      169.510
      550.000      169.510
      600.000      169.510
      650.000      169.510
      700.000      169.510
      750.000      169.510
      800.000      169.510
      850.000      168.263
      875.000      167.640
      900.000      167.640
      925.000      167.640
      950.000      167.640
      975.000      167.640
      1000.00      167.640
      1020.00      167.640
      1040.00      167.640
      1060.00      167.640
