/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2008-12-02.1710.asc
  40.80 262.90  940.  369.   7 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 12   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.1260
      1.00000      38.1260
      3.00000      38.1260
      7.00000      27.0666
      10.0000      24.4577
      20.0000      19.7772
      30.0000      17.5513
      40.0000      16.2317
      50.0000      15.3653
      70.0000      17.3559
      100.000      25.0310
      150.000      36.8830
      200.000      53.4276
      250.000      71.4693
      300.000      79.7728
      350.000      88.0764
      400.000      96.3800
      450.000      96.3800
      500.000      84.4950
      550.000      87.2425
      600.000      89.9900
      650.000      86.6400
      700.000      83.2900
      750.000      89.0600
      800.000      94.8300
      850.000      89.4800
      875.000      88.3800
      900.000      87.2800
      925.000      87.2800
      950.000      87.2800
      975.000      87.2800
      1000.00      87.2800
      1020.00      87.2800
      1040.00      87.2800
      1060.00      87.2800
