/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2008-04-20.1706.asc
  40.84 262.77  936.  367.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 4   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.9637
      1.00000      32.9637
      3.00000      32.9637
      7.00000      27.6685
      10.0000      25.6471
      20.0000      21.9072
      30.0000      18.3751
      40.0000      16.2142
      50.0000      15.6011
      70.0000      19.2535
      100.000      24.8595
      150.000      33.4786
      200.000      60.1020
      250.000      79.2080
      300.000      98.3140
      350.000      117.420
      400.000      126.955
      450.000      136.490
      500.000      144.490
      550.000      146.410
      600.000      148.330
      650.000      149.717
      700.000      151.105
      750.000      152.493
      800.000      153.880
      850.000      161.020
      875.000      178.125
      900.000      195.230
      925.000      193.640
      950.000      193.640
      975.000      193.640
      1000.00      193.640
      1020.00      193.640
      1040.00      193.640
      1060.00      193.640
