/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2006-06-01.1611.asc
  40.80 262.82  941.  360.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 6   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2108
      1.00000      32.2108
      3.00000      32.2108
      7.00000      26.2156
      10.0000      23.3027
      20.0000      20.7160
      30.0000      18.5065
      40.0000      16.7580
      50.0000      16.1016
      70.0000      19.1242
      100.000      27.5022
      150.000      45.7940
      200.000      65.4627
      250.000      85.1313
      300.000      104.800
      350.000      104.800
      400.000      109.180
      450.000      113.560
      500.000      113.240
      550.000      121.250
      600.000      129.260
      650.000      130.650
      700.000      132.040
      750.000      135.940
      800.000      133.995
      850.000      132.050
      875.000      134.410
      900.000      136.770
      925.000      139.385
      950.000      142.000
      975.000      142.000
      1000.00      142.000
      1020.00      142.000
      1040.00      142.000
      1060.00      142.000
