/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2011-04-17.1453.asc
  40.73 262.87  894.  369.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 4   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.9637
      1.00000      32.9637
      3.00000      32.9637
      7.00000      27.6685
      10.0000      25.6471
      20.0000      21.9072
      30.0000      18.3751
      40.0000      16.2142
      50.0000      15.6011
      70.0000      19.2535
      100.000      24.8595
      150.000      33.4786
      200.000      60.1020
      250.000      76.5414
      300.000      92.9807
      350.000      109.420
      400.000      108.555
      450.000      107.690
      500.000      113.350
      550.000      119.630
      600.000      125.910
      650.000      127.190
      700.000      128.470
      750.000      130.995
      800.000      133.520
      850.000      179.480
      875.000      176.225
      900.000      172.970
      925.000      172.970
      950.000      172.970
      975.000      172.970
      1000.00      172.970
      1020.00      172.970
      1040.00      172.970
      1060.00      172.970
