/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-12-30.2120.asc
  40.80 262.87  940.  387.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 12   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.1260
      1.00000      38.1260
      3.00000      38.1260
      7.00000      27.0666
      10.0000      24.4577
      20.0000      19.7772
      30.0000      17.5513
      40.0000      16.2317
      50.0000      15.3653
      70.0000      17.3559
      100.000      25.0310
      150.000      36.8830
      200.000      53.4276
      250.000      71.4693
      300.000      81.7762
      350.000      92.0831
      400.000      102.390
      450.000      109.365
      500.000      116.340
      550.000      113.860
      600.000      120.400
      650.000      126.940
      700.000      128.310
      750.000      128.825
      800.000      129.340
      850.000      133.020
      875.000      132.590
      900.000      132.160
      925.000      132.160
      950.000      132.160
      975.000      132.160
      1000.00      132.160
      1020.00      132.160
      1040.00      132.160
      1060.00      132.160
