/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2009-08-24.1814.asc
  40.80 262.86  937.  352.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.5777
      1.00000      32.5777
      3.00000      32.5777
      7.00000      26.3524
      10.0000      23.6148
      20.0000      19.8709
      30.0000      17.8185
      40.0000      16.6230
      50.0000      15.8898
      70.0000      19.8017
      100.000      34.2916
      150.000      55.5609
      200.000      66.7939
      250.000      78.0270
      300.000      89.2600
      350.000      89.2600
      400.000      84.9450
      450.000      80.6300
      500.000      85.5800
      550.000      92.0400
      600.000      98.5000
      650.000      92.7500
      700.000      87.0000
      750.000      89.2600
      800.000      87.5600
      850.000      85.8600
      875.000      150.480
      900.000      150.340
      925.000      150.200
      950.000      150.200
      975.000      150.200
      1000.00      150.200
      1020.00      150.200
      1040.00      150.200
      1060.00      150.200
