/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-11-16.1622.asc
  40.83 262.81  937.  382.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 11   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.9628
      1.00000      31.9628
      3.00000      31.9628
      7.00000      25.9320
      10.0000      23.6008
      20.0000      19.4705
      30.0000      17.5699
      40.0000      16.3648
      50.0000      15.4756
      70.0000      17.3531
      100.000      27.1300
      150.000      41.9496
      200.000      58.9531
      250.000      71.4388
      300.000      83.9244
      350.000      96.4100
      400.000      96.4100
      450.000      113.840
      500.000      114.920
      550.000      116.000
      600.000      132.120
      650.000      130.330
      700.000      128.540
      750.000      129.490
      800.000      130.440
      850.000      128.450
      875.000      127.320
      900.000      126.190
      925.000      125.000
      950.000      125.000
      975.000      125.000
      1000.00      125.000
      1020.00      125.000
      1040.00      125.000
      1060.00      125.000
