/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2009-12-29.1440.asc
  40.77 262.89  880.  371.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 12   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      38.1260
      1.00000      38.1260
      3.00000      38.1260
      7.00000      27.0666
      10.0000      24.4577
      20.0000      19.7772
      30.0000      17.5513
      40.0000      16.2317
      50.0000      15.3653
      70.0000      17.3559
      100.000      25.0310
      150.000      36.8830
      200.000      53.4276
      250.000      71.4693
      300.000      84.8096
      350.000      98.1500
      400.000      106.710
      450.000      115.270
      500.000      113.965
      550.000      112.660
      600.000      113.790
      650.000      114.920
      700.000      118.570
      750.000      117.842
      800.000      117.115
      850.000      122.870
      875.000      123.300
      900.000      123.300
      925.000      123.300
      950.000      123.300
      975.000      123.300
      1000.00      123.300
      1020.00      123.300
      1040.00      123.300
      1060.00      123.300
