/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2008-01-19.1935.asc
  40.82 262.81  941.  394.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 1   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      45.1623
      1.00000      45.1623
      3.00000      45.1623
      7.00000      30.3285
      10.0000      26.1371
      20.0000      20.3012
      30.0000      17.6150
      40.0000      16.0939
      50.0000      15.2256
      70.0000      18.1356
      100.000      25.8555
      150.000      36.6232
      200.000      53.4880
      250.000      72.5349
      300.000      82.3266
      350.000      92.1183
      400.000      101.910
      450.000      125.320
      500.000      148.730
      550.000      147.510
      600.000      146.290
      650.000      145.070
      700.000      146.820
      750.000      146.455
      800.000      146.090
      850.000      143.870
      875.000      141.245
      900.000      138.620
      925.000      140.530
      950.000      142.440
      975.000      142.440
      1000.00      142.440
      1020.00      142.440
      1040.00      142.440
      1060.00      142.440
