/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-03-29.1518.asc
  40.74 262.79  940.  365.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 3   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      36.8934
      1.00000      36.8934
      3.00000      36.8934
      7.00000      30.8748
      10.0000      27.9857
      20.0000      21.2341
      30.0000      17.9181
      40.0000      16.0168
      50.0000      15.3300
      70.0000      18.6840
      100.000      24.5641
      150.000      32.0201
      200.000      54.7916
      250.000      79.9557
      300.000      105.998
      350.000      132.040
      400.000      132.710
      450.000      133.380
      500.000      153.260
      550.000      167.135
      600.000      181.010
      650.000      165.520
      700.000      150.030
      750.000      148.870
      800.000      147.710
      850.000      148.100
      875.000      146.540
      900.000      144.980
      925.000      145.960
      950.000      146.940
      975.000      146.940
      1000.00      146.940
      1020.00      146.940
      1040.00      146.940
      1060.00      146.940
