/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-04-28.1609.asc
  40.81 262.78  936.  365.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 4   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.9637
      1.00000      32.9637
      3.00000      32.9637
      7.00000      27.6685
      10.0000      25.6471
      20.0000      21.9072
      30.0000      18.3751
      40.0000      16.2142
      50.0000      15.6011
      70.0000      19.2535
      100.000      24.8595
      150.000      33.4786
      200.000      60.1020
      250.000      81.6447
      300.000      103.187
      350.000      124.730
      400.000      126.935
      450.000      129.140
      500.000      118.680
      550.000      120.253
      600.000      121.825
      650.000      123.397
      700.000      124.970
      750.000      131.250
      800.000      137.530
      850.000      147.910
      875.000      148.640
      900.000      148.340
      925.000      148.040
      950.000      148.040
      975.000      148.040
      1000.00      148.040
      1020.00      148.040
      1040.00      148.040
      1060.00      148.040
