/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2011-03-16.1437.asc
  40.73 262.85  941.  364.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 3   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      36.8934
      1.00000      36.8934
      3.00000      36.8934
      7.00000      30.8748
      10.0000      27.9857
      20.0000      21.2341
      30.0000      17.9181
      40.0000      16.0168
      50.0000      15.3300
      70.0000      18.6840
      100.000      24.5641
      150.000      32.0201
      200.000      54.7916
      250.000      79.9557
      300.000      108.868
      350.000      137.780
      400.000      145.710
      450.000      153.640
      500.000      152.340
      550.000      138.635
      600.000      124.930
      650.000      128.090
      700.000      131.250
      750.000      132.785
      800.000      134.320
      850.000      135.470
      875.000      145.550
      900.000      155.630
      925.000      155.630
      950.000      155.630
      975.000      155.630
      1000.00      155.630
      1020.00      155.630
      1040.00      155.630
      1060.00      155.630
