/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-11-08.2202.asc
  40.80 262.82  942.  362.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 11   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.9628
      1.00000      31.9628
      3.00000      31.9628
      7.00000      25.9320
      10.0000      23.6008
      20.0000      19.4705
      30.0000      17.5699
      40.0000      16.3648
      50.0000      15.4756
      70.0000      17.3531
      100.000      27.1300
      150.000      41.9496
      200.000      58.9531
      250.000      67.2021
      300.000      75.4510
      350.000      83.7000
      400.000      84.3000
      450.000      84.9000
      500.000      85.9500
      550.000      85.0500
      600.000      84.1500
      650.000      93.2200
      700.000      102.290
      750.000      94.8750
      800.000      87.4600
      850.000      93.0400
      875.000      104.635
      900.000      116.230
      925.000      116.230
      950.000      116.230
      975.000      116.230
      1000.00      116.230
      1020.00      116.230
      1040.00      116.230
      1060.00      116.230
