/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2004-10-02.1928.asc
  40.80 262.82  941.  362.  12 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 10   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.3722
      1.00000      31.3722
      3.00000      31.3722
      7.00000      25.9847
      10.0000      23.4220
      20.0000      19.4921
      30.0000      17.6913
      40.0000      16.4785
      50.0000      15.5532
      70.0000      18.2989
      100.000      30.1436
      150.000      47.7337
      200.000      60.6825
      250.000      73.6312
      300.000      86.5800
      350.000      86.5800
      400.000      85.3900
      450.000      87.5300
      500.000      92.8700
      550.000      94.7400
      600.000      96.4500
      650.000      106.630
      700.000      109.810
      750.000      110.050
      800.000      111.740
      850.000      110.853
      875.000      110.410
      900.000      110.570
      925.000      110.730
      950.000      110.890
      975.000      110.890
      1000.00      110.890
      1020.00      110.890
      1040.00      110.890
      1060.00      110.890
