/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-07-15.1521.asc
  40.80 262.82  941.  350.  11 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2333
      1.00000      32.2333
      3.00000      32.2333
      7.00000      26.2314
      10.0000      23.3561
      20.0000      20.0639
      30.0000      17.9859
      40.0000      16.6148
      50.0000      16.0361
      70.0000      19.3714
      100.000      32.3216
      150.000      53.2601
      200.000      69.5667
      250.000      85.8734
      300.000      102.180
      350.000      102.180
      400.000      99.2600
      450.000      100.580
      500.000      101.950
      550.000      92.0900
      600.000      78.9800
      650.000      85.6100
      700.000      91.7950
      750.000      97.9800
      800.000      108.100
      850.000      130.973
      875.000      142.410
      900.000      145.307
      925.000      148.203
      950.000      151.100
      975.000      151.100
      1000.00      151.100
      1020.00      151.100
      1040.00      151.100
      1060.00      151.100
