/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-08-16.1810.asc
  40.80 262.78  935.  352.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.5777
      1.00000      32.5777
      3.00000      32.5777
      7.00000      26.3524
      10.0000      23.6148
      20.0000      19.8709
      30.0000      17.8185
      40.0000      16.6230
      50.0000      15.8898
      70.0000      19.8017
      100.000      34.2916
      150.000      55.5609
      200.000      64.9473
      250.000      74.3336
      300.000      83.7200
      350.000      83.7200
      400.000      79.4200
      450.000      75.1200
      500.000      88.6000
      550.000      100.325
      600.000      112.050
      650.000      120.133
      700.000      128.217
      750.000      136.300
      800.000      141.490
      850.000      146.680
      875.000      160.150
      900.000      159.525
      925.000      158.900
      950.000      158.900
      975.000      158.900
      1000.00      158.900
      1020.00      158.900
      1040.00      158.900
      1060.00      158.900
