/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-10-21.1334.asc
  40.80 262.82  943.  369.   2 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 10   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.3722
      1.00000      31.3722
      3.00000      31.3722
      7.00000      25.9847
      10.0000      23.4220
      20.0000      19.4921
      30.0000      17.6913
      40.0000      16.4785
      50.0000      15.5532
      70.0000      18.2989
      100.000      30.1436
      150.000      47.7337
      200.000      68.6258
      250.000      89.5179
      300.000      110.410
      350.000      110.410
      400.000      110.410
      450.000      110.410
      500.000      110.410
      550.000      110.410
      600.000      110.410
      650.000      110.410
      700.000      110.410
      750.000      110.410
      800.000      110.410
      850.000      110.410
      875.000      110.410
      900.000      110.410
      925.000      109.760
      950.000      109.110
      975.000      109.110
      1000.00      109.110
      1020.00      109.110
      1040.00      109.110
      1060.00      109.110
