/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2008-08-01.1939.asc
  40.84 262.84  933.  350.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.5777
      1.00000      32.5777
      3.00000      32.5777
      7.00000      26.3524
      10.0000      23.6148
      20.0000      19.8709
      30.0000      17.8185
      40.0000      16.6230
      50.0000      15.8898
      70.0000      19.8017
      100.000      34.2916
      150.000      55.5609
      200.000      64.7172
      250.000      73.8736
      300.000      83.0300
      350.000      83.0300
      400.000      88.2900
      450.000      93.5500
      500.000      95.9800
      550.000      103.015
      600.000      110.050
      650.000      105.510
      700.000      100.970
      750.000      123.930
      800.000      128.785
      850.000      133.640
      875.000      141.420
      900.000      140.625
      925.000      139.830
      950.000      139.830
      975.000      139.830
      1000.00      139.830
      1020.00      139.830
      1040.00      139.830
      1060.00      139.830
