/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-09-26.1534.asc
  40.80 262.82  941.  357.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 9   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.1304
      1.00000      32.1304
      3.00000      32.1304
      7.00000      26.3254
      10.0000      23.6738
      20.0000      19.7608
      30.0000      17.8715
      40.0000      16.6380
      50.0000      15.7121
      70.0000      19.3669
      100.000      33.5826
      150.000      57.7417
      200.000      81.9009
      250.000      106.060
      300.000      106.060
      350.000      106.060
      400.000      96.2350
      450.000      86.4100
      500.000      106.250
      550.000      104.098
      600.000      101.945
      650.000      99.7925
      700.000      97.6400
      750.000      100.720
      800.000      103.800
      850.000      104.150
      875.000      105.335
      900.000      106.520
      925.000      107.515
      950.000      108.510
      975.000      108.510
      1000.00      108.510
      1020.00      108.510
      1040.00      108.510
      1060.00      108.510
