/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2009-09-14.1543.asc
  40.74 262.84  935.  352.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 9   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.1304
      1.00000      32.1304
      3.00000      32.1304
      7.00000      26.3254
      10.0000      23.6738
      20.0000      19.7608
      30.0000      17.8715
      40.0000      16.6380
      50.0000      15.7121
      70.0000      19.3669
      100.000      33.5826
      150.000      50.3951
      200.000      67.2075
      250.000      84.0200
      300.000      84.0200
      350.000      84.0200
      400.000      87.0850
      450.000      90.1500
      500.000      82.1300
      550.000      85.3500
      600.000      88.5700
      650.000      87.9550
      700.000      87.3400
      750.000      91.7000
      800.000      111.950
      850.000      132.200
      875.000      142.325
      900.000      152.450
      925.000      157.520
      950.000      157.520
      975.000      157.520
      1000.00      157.520
      1020.00      157.520
      1040.00      157.520
      1060.00      157.520
