/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-09-11.1942.asc
  40.80 262.82  941.  353.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 9   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.1304
      1.00000      32.1304
      3.00000      32.1304
      7.00000      26.3254
      10.0000      23.6738
      20.0000      19.7608
      30.0000      17.8715
      40.0000      16.6380
      50.0000      15.7121
      70.0000      19.3669
      100.000      33.5826
      150.000      48.8684
      200.000      64.1542
      250.000      79.4400
      300.000      79.4400
      350.000      79.4400
      400.000      80.1900
      450.000      80.9400
      500.000      82.1800
      550.000      84.0350
      600.000      85.8900
      650.000      88.7400
      700.000      91.5900
      750.000      133.360
      800.000      143.380
      850.000      153.400
      875.000      158.410
      900.000      157.950
      925.000      157.490
      950.000      157.030
      975.000      157.030
      1000.00      157.030
      1020.00      157.030
      1040.00      157.030
      1060.00      157.030
