/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2006-07-18.1847.asc
  40.80 262.82  941.  349.   7 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2333
      1.00000      32.2333
      3.00000      32.2333
      7.00000      26.2314
      10.0000      23.3561
      20.0000      20.0639
      30.0000      17.9859
      40.0000      16.6148
      50.0000      16.0361
      70.0000      19.3714
      100.000      32.3216
      150.000      53.2601
      200.000      61.8567
      250.000      70.4534
      300.000      79.0500
      350.000      79.0500
      400.000      77.9850
      450.000      76.9200
      500.000      122.770
      550.000      118.705
      600.000      114.640
      650.000      116.325
      700.000      118.010
      750.000      117.400
      800.000      116.790
      850.000      116.180
      875.000      118.180
      900.000      120.180
      925.000      122.180
      950.000      124.180
      975.000      124.180
      1000.00      124.180
      1020.00      124.180
      1040.00      124.180
      1060.00      124.180
