/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-07-08.1217.asc
  40.80 262.82  941.  354.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2333
      1.00000      32.2333
      3.00000      32.2333
      7.00000      26.2314
      10.0000      23.3561
      20.0000      20.0639
      30.0000      17.9859
      40.0000      16.6148
      50.0000      16.0361
      70.0000      19.3714
      100.000      32.3216
      150.000      53.2601
      200.000      67.6400
      250.000      82.0200
      300.000      96.4000
      350.000      96.4000
      400.000      96.0400
      450.000      98.3950
      500.000      99.8100
      550.000      118.440
      600.000      114.550
      650.000      105.590
      700.000      111.810
      750.000      118.030
      800.000      124.580
      850.000      124.580
      875.000      124.580
      900.000      124.580
      925.000      124.580
      950.000      124.580
      975.000      124.580
      1000.00      124.580
      1020.00      124.580
      1040.00      124.580
      1060.00      124.580
