/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-09-17.1937.asc
  40.80 262.82  942.  359.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 9   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.1304
      1.00000      32.1304
      3.00000      32.1304
      7.00000      26.3254
      10.0000      23.6738
      20.0000      19.7608
      30.0000      17.8715
      40.0000      16.6380
      50.0000      15.7121
      70.0000      19.3669
      100.000      33.5826
      150.000      49.1517
      200.000      64.7209
      250.000      80.2900
      300.000      80.2900
      350.000      80.2900
      400.000      80.4750
      450.000      80.6600
      500.000      81.9800
      550.000      85.2300
      600.000      88.4800
      650.000      89.2000
      700.000      89.9200
      750.000      96.3300
      800.000      102.740
      850.000      122.710
      875.000      120.820
      900.000      118.930
      925.000      120.490
      950.000      122.050
      975.000      122.050
      1000.00      122.050
      1020.00      122.050
      1040.00      122.050
      1060.00      122.050
