/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-11-08.1637.asc
  40.83 262.81  930.  370.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 11   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.9628
      1.00000      31.9628
      3.00000      31.9628
      7.00000      25.9320
      10.0000      23.6008
      20.0000      19.4705
      30.0000      17.5699
      40.0000      16.3648
      50.0000      15.4756
      70.0000      17.3531
      100.000      27.1300
      150.000      41.9496
      200.000      58.9531
      250.000      73.6087
      300.000      88.2644
      350.000      102.920
      400.000      100.760
      450.000      98.6000
      500.000      96.4200
      550.000      94.9000
      600.000      93.3800
      650.000      105.940
      700.000      118.500
      750.000      118.080
      800.000      118.560
      850.000      119.040
      875.000      139.807
      900.000      160.573
      925.000      181.340
      950.000      181.340
      975.000      181.340
      1000.00      181.340
      1020.00      181.340
      1040.00      181.340
      1060.00      181.340
