/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2004-11-02.2233.asc
  40.80 262.82  942.  367.  12 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 11   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.9628
      1.00000      31.9628
      3.00000      31.9628
      7.00000      25.9320
      10.0000      23.6008
      20.0000      19.4705
      30.0000      17.5699
      40.0000      16.3648
      50.0000      15.4756
      70.0000      17.3531
      100.000      27.1300
      150.000      41.9496
      200.000      58.9531
      250.000      67.7754
      300.000      76.5977
      350.000      85.4200
      400.000      82.6900
      450.000      86.5900
      500.000      93.3400
      550.000      94.6900
      600.000      90.8200
      650.000      102.050
      700.000      98.5300
      750.000      109.270
      800.000      120.260
      850.000      127.200
      875.000      130.670
      900.000      131.140
      925.000      131.610
      950.000      132.080
      975.000      132.080
      1000.00      132.080
      1020.00      132.080
      1040.00      132.080
      1060.00      132.080
