/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-06-15.1656.asc
  40.80 262.82  941.  357.   4 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 6   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2108
      1.00000      32.2108
      3.00000      32.2108
      7.00000      26.2156
      10.0000      23.3027
      20.0000      20.7160
      30.0000      18.5065
      40.0000      16.7580
      50.0000      16.1016
      70.0000      19.1242
      100.000      27.5022
      150.000      45.7940
      200.000      61.6460
      250.000      77.4980
      300.000      93.3500
      350.000      93.3500
      400.000      93.3500
      450.000      93.3500
      500.000      125.430
      550.000      115.848
      600.000      106.265
      650.000      106.372
      700.000      106.480
      750.000      106.480
      800.000      106.480
      850.000      106.480
      875.000      106.480
      900.000      106.480
      925.000      106.480
      950.000      106.480
      975.000      106.480
      1000.00      106.480
      1020.00      106.480
      1040.00      106.480
      1060.00      106.480
