/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-06-02.1347.asc
  40.80 262.82  942.  367.   6 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 6   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2108
      1.00000      32.2108
      3.00000      32.2108
      7.00000      26.2156
      10.0000      23.3027
      20.0000      20.7160
      30.0000      18.5065
      40.0000      16.7580
      50.0000      16.1016
      70.0000      19.1242
      100.000      27.5022
      150.000      45.7940
      200.000      68.9060
      250.000      92.0180
      300.000      115.130
      350.000      115.130
      400.000      117.034
      450.000      118.939
      500.000      120.843
      550.000      122.747
      600.000      124.651
      650.000      126.556
      700.000      128.460
      750.000      127.850
      800.000      127.240
      850.000      127.180
      875.000      127.450
      900.000      127.720
      925.000      128.580
      950.000      129.440
      975.000      129.440
      1000.00      129.440
      1020.00      129.440
      1040.00      129.440
      1060.00      129.440
