/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-08-25.2028.asc
  40.80 262.82  941.  352.  11 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.5777
      1.00000      32.5777
      3.00000      32.5777
      7.00000      26.3524
      10.0000      23.6148
      20.0000      19.8709
      30.0000      17.8185
      40.0000      16.6230
      50.0000      15.8898
      70.0000      19.8017
      100.000      34.2916
      150.000      55.5609
      200.000      64.6273
      250.000      73.6936
      300.000      82.7600
      350.000      82.7600
      400.000      84.8400
      450.000      91.4500
      500.000      90.1200
      550.000      87.1700
      600.000      94.8600
      650.000      93.6800
      700.000      88.9700
      750.000      84.2600
      800.000      83.8400
      850.000      98.6067
      875.000      105.990
      900.000      105.223
      925.000      104.457
      950.000      103.690
      975.000      103.690
      1000.00      103.690
      1020.00      103.690
      1040.00      103.690
      1060.00      103.690
