/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-10-11.1948.asc
  40.76 262.78  939.  368.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 10   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.3722
      1.00000      31.3722
      3.00000      31.3722
      7.00000      25.9847
      10.0000      23.4220
      20.0000      19.4921
      30.0000      17.6913
      40.0000      16.4785
      50.0000      15.5532
      70.0000      18.2989
      100.000      30.1436
      150.000      47.7337
      200.000      64.7125
      250.000      81.6912
      300.000      98.6700
      350.000      98.6700
      400.000      101.025
      450.000      103.380
      500.000      107.830
      550.000      108.740
      600.000      109.650
      650.000      107.815
      700.000      105.980
      750.000      107.815
      800.000      109.650
      850.000      119.930
      875.000      120.845
      900.000      121.760
      925.000      122.230
      950.000      122.700
      975.000      122.700
      1000.00      122.700
      1020.00      122.700
      1040.00      122.700
      1060.00      122.700
