/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-11-30.1454.asc
  40.81 262.87  923.  369.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 11   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.9628
      1.00000      31.9628
      3.00000      31.9628
      7.00000      25.9320
      10.0000      23.6008
      20.0000      19.4705
      30.0000      17.5699
      40.0000      16.3648
      50.0000      15.4756
      70.0000      17.3531
      100.000      27.1300
      150.000      41.9496
      200.000      58.9531
      250.000      69.0921
      300.000      79.2310
      350.000      89.3700
      400.000      97.7600
      450.000      106.150
      500.000      107.250
      550.000      110.195
      600.000      113.140
      650.000      118.780
      700.000      124.420
      750.000      123.600
      800.000      126.380
      850.000      129.160
      875.000      136.760
      900.000      133.255
      925.000      129.750
      950.000      129.750
      975.000      129.750
      1000.00      129.750
      1020.00      129.750
      1040.00      129.750
      1060.00      129.750
