/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-05-26.1940.asc
  40.77 262.69  938.  354.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 5   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.3368
      1.00000      32.3368
      3.00000      32.3368
      7.00000      26.3942
      10.0000      23.8036
      20.0000      21.6460
      30.0000      18.7537
      40.0000      16.5781
      50.0000      15.9462
      70.0000      18.8465
      100.000      24.1068
      150.000      38.6335
      200.000      67.5799
      250.000      81.3233
      300.000      95.0666
      350.000      108.810
      400.000      117.865
      450.000      126.920
      500.000      128.270
      550.000      123.010
      600.000      117.750
      650.000      117.760
      700.000      117.770
      750.000      117.415
      800.000      117.060
      850.000      114.590
      875.000      117.145
      900.000      119.700
      925.000      119.700
      950.000      119.700
      975.000      119.700
      1000.00      119.700
      1020.00      119.700
      1040.00      119.700
      1060.00      119.700
