/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-06-16.1518.asc
  40.80 262.82  941.  360.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 6   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2108
      1.00000      32.2108
      3.00000      32.2108
      7.00000      26.2156
      10.0000      23.3027
      20.0000      20.7160
      30.0000      18.5065
      40.0000      16.7580
      50.0000      16.1016
      70.0000      19.1242
      100.000      27.5022
      150.000      45.7940
      200.000      60.5193
      250.000      75.2447
      300.000      89.9700
      350.000      89.9700
      400.000      83.5100
      450.000      92.3700
      500.000      90.8100
      550.000      101.015
      600.000      111.220
      650.000      115.765
      700.000      120.310
      750.000      115.480
      800.000      98.9400
      850.000      117.040
      875.000      126.090
      900.000      126.090
      925.000      126.090
      950.000      126.090
      975.000      126.090
      1000.00      126.090
      1020.00      126.090
      1040.00      126.090
      1060.00      126.090
