/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-05-19.1339.asc
  40.80 262.82  941.  362.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 5   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.3368
      1.00000      32.3368
      3.00000      32.3368
      7.00000      26.3942
      10.0000      23.8036
      20.0000      21.6460
      30.0000      18.7537
      40.0000      16.5781
      50.0000      15.9462
      70.0000      18.8465
      100.000      24.1068
      150.000      38.6335
      200.000      67.5799
      250.000      80.3133
      300.000      93.0466
      350.000      105.780
      400.000      104.675
      450.000      103.570
      500.000      115.000
      550.000      121.630
      600.000      128.260
      650.000      127.465
      700.000      126.670
      750.000      124.940
      800.000      123.210
      850.000      130.330
      875.000      153.580
      900.000      176.830
      925.000      174.215
      950.000      171.600
      975.000      171.600
      1000.00      171.600
      1020.00      171.600
      1040.00      171.600
      1060.00      171.600
