/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-06-24.1339.asc
  40.80 262.82  941.  355.   8 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 6   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2108
      1.00000      32.2108
      3.00000      32.2108
      7.00000      26.2156
      10.0000      23.3027
      20.0000      20.7160
      30.0000      18.5065
      40.0000      16.7580
      50.0000      16.1016
      70.0000      19.1242
      100.000      27.5022
      150.000      45.7940
      200.000      55.3660
      250.000      64.9380
      300.000      74.5100
      350.000      74.5100
      400.000      73.6250
      450.000      72.7400
      500.000      77.7500
      550.000      100.230
      600.000      122.710
      650.000      128.290
      700.000      133.870
      750.000      125.843
      800.000      117.817
      850.000      109.790
      875.000      112.475
      900.000      115.160
      925.000      118.190
      950.000      121.220
      975.000      121.220
      1000.00      121.220
      1020.00      121.220
      1040.00      121.220
      1060.00      121.220
