/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-10-30.1935.asc
  40.80 262.82  942.  369.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 10   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.3722
      1.00000      31.3722
      3.00000      31.3722
      7.00000      25.9847
      10.0000      23.4220
      20.0000      19.4921
      30.0000      17.6913
      40.0000      16.4785
      50.0000      15.5532
      70.0000      18.2989
      100.000      30.1436
      150.000      47.7337
      200.000      68.0925
      250.000      88.4512
      300.000      108.810
      350.000      108.810
      400.000      96.4700
      450.000      84.1300
      500.000      105.550
      550.000      107.885
      600.000      110.220
      650.000      110.200
      700.000      110.180
      750.000      114.055
      800.000      117.930
      850.000      115.850
      875.000      117.435
      900.000      119.020
      925.000      119.100
      950.000      119.180
      975.000      119.180
      1000.00      119.180
      1020.00      119.180
      1040.00      119.180
      1060.00      119.180
