/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-11-18.2032.asc
  40.80 262.82  942.  371.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 11   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      31.9628
      1.00000      31.9628
      3.00000      31.9628
      7.00000      25.9320
      10.0000      23.6008
      20.0000      19.4705
      30.0000      17.5699
      40.0000      16.3648
      50.0000      15.4756
      70.0000      17.3531
      100.000      27.1300
      150.000      41.9496
      200.000      58.9531
      250.000      83.9354
      300.000      108.918
      350.000      133.900
      400.000      134.260
      450.000      134.620
      500.000      143.950
      550.000      139.060
      600.000      134.170
      650.000      122.375
      700.000      110.580
      750.000      115.465
      800.000      120.350
      850.000      123.690
      875.000      126.595
      900.000      129.500
      925.000      131.875
      950.000      134.250
      975.000      134.250
      1000.00      134.250
      1020.00      134.250
      1040.00      134.250
      1060.00      134.250
