/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2010-06-21.1814.asc
  40.86 262.81  939.  354.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 6   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2108
      1.00000      32.2108
      3.00000      32.2108
      7.00000      26.2156
      10.0000      23.3027
      20.0000      20.7160
      30.0000      18.5065
      40.0000      16.7580
      50.0000      16.1016
      70.0000      19.1242
      100.000      27.5022
      150.000      45.7940
      200.000      56.9193
      250.000      68.0447
      300.000      79.1700
      350.000      79.1700
      400.000      84.9600
      450.000      90.7500
      500.000      86.9400
      550.000      91.1950
      600.000      95.4500
      650.000      96.1650
      700.000      96.8800
      750.000      102.450
      800.000      100.060
      850.000      97.6700
      875.000      98.0600
      900.000      97.9833
      925.000      97.9067
      950.000      97.8300
      975.000      97.8300
      1000.00      97.8300
      1020.00      97.8300
      1040.00      97.8300
      1060.00      97.8300
