/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2008-08-24.1503.asc
  40.78 262.79  940.  354.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 8   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.5777
      1.00000      32.5777
      3.00000      32.5777
      7.00000      26.3524
      10.0000      23.6148
      20.0000      19.8709
      30.0000      17.8185
      40.0000      16.6230
      50.0000      15.8898
      70.0000      19.8017
      100.000      34.2916
      150.000      55.5609
      200.000      65.7539
      250.000      75.9470
      300.000      86.1400
      350.000      86.1400
      400.000      93.3900
      450.000      100.640
      500.000      80.5600
      550.000      88.6350
      600.000      96.7100
      650.000      97.7200
      700.000      98.7300
      750.000      98.6450
      800.000      98.5600
      850.000      104.660
      875.000      102.185
      900.000      99.7100
      925.000      105.295
      950.000      110.880
      975.000      110.880
      1000.00      110.880
      1020.00      110.880
      1040.00      110.880
      1060.00      110.880
