/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2009-07-10.1648.asc
  40.77 262.79  934.  350.   6 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2333
      1.00000      32.2333
      3.00000      32.2333
      7.00000      26.2314
      10.0000      23.3561
      20.0000      20.0639
      30.0000      17.9859
      40.0000      16.6148
      50.0000      16.0361
      70.0000      19.3714
      100.000      32.3216
      150.000      53.2601
      200.000      57.2900
      250.000      61.3200
      300.000      65.3500
      350.000      65.3500
      400.000      65.3500
      450.000      65.3500
      500.000      65.3500
      550.000      74.0400
      600.000      82.7300
      650.000      83.1100
      700.000      83.4900
      750.000      120.580
      800.000      133.905
      850.000      147.230
      875.000      159.500
      900.000      159.500
      925.000      159.500
      950.000      159.500
      975.000      159.500
      1000.00      159.500
      1020.00      159.500
      1040.00      159.500
      1060.00      159.500
