/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2007-06-30.1443.asc
  40.80 262.82  941.  355.   9 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 6   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2108
      1.00000      32.2108
      3.00000      32.2108
      7.00000      26.2156
      10.0000      23.3027
      20.0000      20.7160
      30.0000      18.5065
      40.0000      16.7580
      50.0000      16.1016
      70.0000      19.1242
      100.000      27.5022
      150.000      45.7940
      200.000      54.2993
      250.000      62.8047
      300.000      71.3100
      350.000      71.3100
      400.000      82.5450
      450.000      93.7800
      500.000      85.2300
      550.000      86.4400
      600.000      87.6500
      650.000      94.9200
      700.000      102.190
      750.000      97.7350
      800.000      93.2800
      850.000      100.850
      875.000      109.340
      900.000      117.830
      925.000      120.595
      950.000      123.360
      975.000      123.360
      1000.00      123.360
      1020.00      123.360
      1040.00      123.360
      1060.00      123.360
